Name,ID,Ligand,Action,Value,Parameter,Uniprot,Class
5-HT1Areceptor,3925,[3H]NLX-112,Fullagonist,8.9,pKd,P08908,agonists
5-HT1Areceptor,31,[3H]8-OH-DPAT,Fullagonist,6.0–9.4,pKd,P08908,agonists
5-HT1Areceptor,32,[3H]S-15535,Partialagonist,5.8–5.9,pKd,P08908,agonists
5-HT1Areceptor,25,S-14671,Fullagonist,10.2–10.5,pKi,P08908,agonists
5-HT1Areceptor,19,LY293284,Fullagonist,10.1,pKi,P08908,agonists
5-HT1Areceptor,4,5-CT,Fullagonist,9.4–10.3,pKi,P08908,agonists
5-HT1Areceptor,43,lisuride,Fullagonist,9.7–9.8,pKi,P08908,agonists
5-HT1Areceptor,30,U92016A,Fullagonist,9.7,pKi,P08908,agonists
5-HT1Areceptor,7427,vilazodone,Partialagonist,9.7,pKi,P08908,agonists
5-HT1Areceptor,24,S-14506,Fullagonist,9.6–9.7,pKi,P08908,agonists
5-HT1Areceptor,52,roxindole,Partialagonist,9.4–9.9,pKi,P08908,agonists
5-HT1Areceptor,5,5-hydroxytryptamine,Fullagonist,9.1–9.7,pKi,P08908,agonists
5-HT1Areceptor,1,flesinoxan,Fullagonist,9.3,pKi,P08908,agonists
5-HT1Areceptor,15,"L-694,247",Fullagonist,9.3,pKi,P08908,agonists
5-HT1Areceptor,26,S-15535,Partialagonist,9.2,pKi,P08908,agonists
5-HT1Areceptor,17,Lysergide,Fullagonist,9.0,pKi,P08908,agonists
5-HT1Areceptor,23,RU24969,Fullagonist,9.0,pKi,P08908,agonists
5-HT1Areceptor,8182,flibanserin,Agonist,9.0,pKi,P08908,agonists
5-HT1Areceptor,7,8-OH-DPAT,Fullagonist,8.4–9.4,pKi,P08908,agonists
5-HT1Areceptor,18,"LY165,163",Fullagonist,8.9,pKi,P08908,agonists
5-HT1Areceptor,53,spiroxatrine,Fullagonist,8.8,pKi,P08908,agonists
5-HT1Areceptor,42,ipsapirone,Partialagonist,8.6–8.8,pKi,P08908,agonists
5-HT1Areceptor,13,FG-5893,Fullagonist,8.7,pKi,P08908,agonists
5-HT1Areceptor,48,pergolide,Partialagonist,8.7,pKi,P08908,agonists
5-HT1Areceptor,6,7-methoxy-1-naphthylpiperazine,Fullagonist,8.6,pKi,P08908,agonists
5-HT1Areceptor,3218,(R)-UH301,Partialagonist,8.6,pKi,P08908,agonists
5-HT1Areceptor,3924,NLX-101,Fullagonist,8.6,pKi,P08908,agonists
5-HT1Areceptor,56,terguride,Partialagonist,8.5,pKi,P08908,agonists
5-HT1Areceptor,59,ziprasidone,Partialagonist,7.9–8.9,pKi,P08908,agonists
5-HT1Areceptor,167,S16924,Partialagonist,8.4,pKi,P08908,agonists
5-HT1Areceptor,34,aripiprazole,Partialagonist,8.2,pKi,P08908,agonists
5-HT1Areceptor,55,tandospirone,Fullagonist,8.2,pKi,P08908,agonists
5-HT1Areceptor,7461,lurasidone,Partialagonist,8.2,pKi,P08908,agonists
5-HT1Areceptor,22,asenapine,Fullagonist,8.0–8.3,pKi,P08908,agonists
5-HT1Areceptor,58,zalospirone,Fullagonist,8.1,pKi,P08908,agonists
5-HT1Areceptor,3,1-naphthylpiperazine,Fullagonist,8.0,pKi,P08908,agonists
